d,title,intro,poster,pubdate,url,rating,press,star,comment,tags,star_time,author
4053020099,六个说谎的大学生,君子论迹不论心,https://img9.doubanio.com/view/subject/l/public/s34497205.jpg,2023-4,https://book.douban.com/subject/36283547/,7.7,四川文艺出版社,4.0,君子论迹不论心,,2024-01-10 14:15:49,
4047484189,名侦探的献祭,,https://img9.doubanio.com/view/subject/l/public/s34681654.jpg,2023-9,https://book.douban.com/subject/36512989/,7.1,九州出版社,3.5,,,2024-01-05 19:41:47,
4046362134,我在北京送快递,,https://img1.doubanio.com/view/subject/l/public/s34522268.jpg,2023-3,https://book.douban.com/subject/36150423/,8.1,湖南文艺出版社,4.0,,,2024-01-04 18:59:00,
4045525804,豆子芝麻茶,就到这吧，挺好,https://img3.doubanio.com/view/subject/l/public/s34669097.jpg,2023-10,https://book.douban.com/subject/36560856/,8.6,广东人民出版社,4.5,就到这吧，挺好,,2024-01-03 22:59:03,
4016028898,追风筝的人,,https://img1.doubanio.com/view/subject/l/public/s1727290.jpg,2006-5,https://book.douban.com/subject/1770782/,8.9,上海人民出版社,4.5,,,2023-12-08 16:48:11,
3984887657,黑暗之家,,https://img1.doubanio.com/view/subject/l/public/s34641700.jpg,2023-10-10,https://book.douban.com/subject/36520019/,7.3,海南出版社,3.5,,,2023-11-07 19:45:37,
3823947121,黑蜥蜴,,https://img9.doubanio.com/view/subject/l/public/s25811714.jpg,2013-4-5,https://book.douban.com/subject/21692857/,6.4,新星出版社,3.0,,,2023-06-19 13:22:20,
3791760001,房思琪的初恋乐园,让人痛苦的是，我是个幸福的人。而我的幸福只是因为我是个幸存者。,https://img2.doubanio.com/view/subject/l/public/s29651121.jpg,2018-2,https://book.douban.com/subject/27614904/,9.2,北京联合出版公司,4.5,让人痛苦的是，我是个幸福的人。而我的幸福只是因为我是个幸存者。,,2023-05-18 09:05:05,
3747831602,狩猎愉快,,https://img3.doubanio.com/view/subject/l/public/s34186337.jpg,2022-7,https://book.douban.com/subject/35751797/,7.8,四川科学技术出版社,4.0,,,2023-04-08 13:15:18,
3722202028,我的赛克洛斯,,https://img1.doubanio.com/view/subject/l/public/s33704460.jpg,2020-8,https://book.douban.com/subject/35166548/,7.4,新星出版社,3.5,,,2023-03-15 22:58:52,
3717744469,小巷人家,蛮好看，怀恋邻里间的人情世故,https://img3.doubanio.com/view/subject/l/public/s34730787.jpg,2024-1,https://book.douban.com/subject/36691906/,8.4,四川文艺出版社,4.0,蛮好看，怀恋邻里间的人情世故,,2023-03-11 22:16:00,
3704669138,好物集,没事干出去散散心呗,https://img1.doubanio.com/view/subject/l/public/s29444459.jpg,2017-4-2,https://book.douban.com/subject/27038455/,5.5,北京联合出版公司,3.0,没事干出去散散心呗,,2023-02-26 14:48:03,
